,text
10,"Vrije Universiteit Amsterdam offers a Master program called 'Business Administration' in Amsterdam. The program lasts for 1 year. Program Overview: Companies and people: how they work, what roles they play An IT start-up and a large corporate bank, or a big online retail firm and an international NGO. Businesses that on a first glance might not have a lot in common. But when you look closer, both are companies that need people to lead, to innovate and to work together. What do different organisations have in common, and what are the differences? How do they complement each other? And why are some more successful than others? If you are curious about the ins and outs of this ‘game’, about the companies active in business services and about the people who work for them, then Business Administration is the Master’s programme for you. Because business administration is a very wide-ranging industry, so too is this degree. You engage in in-depth analysis of companies from a variety of sectors. You specialize in specific business processes. And you make use of know-how drawn from, among others, information technology, economics, psychology and the social sciences. This programme has five specializations: Specialization in Human Resource Management Specialization in International Management Specialization in Leadership and Change Management Specialization in Management Consulting Specialization in Strategy & Organization This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 1 year. It carries a total of Information not available credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 24,150; Institutional students pay € 21,220. If you want to join the program starting in 1 Sep '25, the application deadline is 31 May '25 for EU/EEA applicants, and 1 Apr '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 31 May '26 for EU/EEA applicants, and 1 Apr '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 31 May '27 for EU/EEA applicants, and 1 Apr '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.vu.nl/en/education/master/business-administration."
11,"Inholland University of Applied Sciences offers a Bachelor program called 'Tourism Management' in Amsterdam. The program lasts for 4 years. Program Overview: Bachelor in Tourism Management Do you get excited about discovering new cultures, destinations and getting to know different types of travellers? Explore the world with the Tourism Management programme in Amsterdam, Haarlem or Rotterdam! Why Tourism Management is for you: You are passionate about anything related to travel and tourism. You want to create extraordinary experiences and learn, preferably by doing. You are looking for a broad management programme that keeps your options open, but you also want to specialise. This program awards a degree titled 'Bachelor of Arts'. The language of instruction is English. The program duration is 4 years. It carries a total of 240 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6); or TOEFL internet based (minimum score or level: 8); or TOEFL computer based (minimum score or level: 8); or TOEFL paper based (minimum score or level: 8). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 31 Jul '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 31 Jul '26 for EU/EEA applicants, and 1 May '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 31 Jul '27 for EU/EEA applicants, and 1 May '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.inholland.nl/inhollandcom/degree-programmes/tourism-management-eng-full-time/."
12,"University of Amsterdam offers a Master program called 'Arts and Culture: Comparative Cultural Analysis' in Amsterdam. The program lasts for 1 year. Program Overview: The Master's programme Comparative Cultural Analysis is dedicated to exploring how globalisation has increased across intercultural forms of literatures and arts. What a culture identifies as a dialogue with another culture is a sometimes fruitful and sometimes conflictual but always productive moment that reveals that no “culture” is a self-contained historical or geographical entity. Using interdisciplinary concepts and objects, the course proposes to explore the dialogues between and therefore (self-)redefinition of cultural phenomena, with a special emphasis on issues of mobility and identity construction. The professors and researchers who form part of this programme all have very diverse research areas. Questions concerning the programme literature are combined with a broader perspective from various subjects such as cultural history, psychoanalysis and esthetics, philosophy and esthetics, anthropology and intercultural awareness, intermediality, and gender studies. This program awards a degree titled 'Master of Arts'. The language of instruction is English. The program duration is 1 year. It carries a total of Information not available credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 18,810; Institutional students pay € 17,100. If you want to join the program starting in 1 Sep '25, the application deadline is 15 May '25 for EU/EEA applicants, and 1 Mar '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.uva.nl/ma-comparative-cultural-analysis."
13,"Vrije Universiteit Amsterdam offers a Master program called 'Science, Business and Innovation' in Amsterdam. The program lasts for 2 years. Program Overview: Are you curious about how to integrate both the scientific and the business side of innovations? Do you want to play a crucial part in determining the economic success of innovations? Come study SBI! As an SBI graduate you are trained to integrate scientific aspects in a business and innovation context while taking organizational, social and cultural variables into account. Professionals who are able to bridge the gap between laboratory, work floor and boardroom are rare and highly sought after. Practice and theory go hand in hand in your Master SBI. The SBI courses feature real world business cases and the things you learn in the classroom are directly applicable in your future career. This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 31 May '25 for EU/EEA applicants, and 1 Apr '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 31 May '26 for EU/EEA applicants, and 1 Apr '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 31 May '27 for EU/EEA applicants, and 1 Apr '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://vu.nl/en/education/master/science-business-and-innovation."
14,"Vrije Universiteit Amsterdam offers a Master program called 'Human Movement Sciences: Sport, Exercise and Health (research)' in Amsterdam. The program lasts for 2 years. Program Overview: Unraveling the secrets of human movement How do toddlers learn to walk? How can augmented reality help patients with Parkinson’s Disease? How do top athletes get maximum performance out of their muscles? What’s the best training to improve stability and prevent falls among elderly people? This two-year multidisciplinary Research Master's programme integrates fundamental scientific research with relevant questions from clinical and sports practice. You’ll cover topics ranging from molecular biology to systems neuroscience, and from biomechanics to motor behaviour. The programme has close ties with the Amsterdam Movement Sciences (AMS) institute, which contributes to the strong research focus and relevance of the course content. This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6.5); or TOEFL paper based (minimum score or level: 580); or TOEFL internet based (minimum score or level: 92). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 31 May '25 for EU/EEA applicants, and 1 Apr '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 31 May '26 for EU/EEA applicants, and 1 Apr '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 31 May '27 for EU/EEA applicants, and 1 Apr '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://vu.nl/en/education/master/human-movement-sciences-research."
15,"University of Amsterdam offers a Master program called 'Neurobiology: Psychopharmacology and Pathophysiology' in Amsterdam. The program lasts for 2 years. Program Overview: The aim of the track is to give insight into: the neurobiological substrate of human brain disorders; current pharmaca and their mechanisms of action; and research to develop and test new drugs. The main aim of this track is to provide you with detailed and up-to-date information about: 1) the neurobiological mechanisms thought to underlie some of the main human brain disorders, e.g. Alzheimer's/Parkinson's disease, depression, anxiety, eating disorders, addiction, epilepsy and MS. 2) the current animal models available to study these diseases and/or test effects of (novel) pharmaca. 3) the development, selection and testing of drugs to treat brain diseases (validity, efficacy, safety). This is done with experts from the pharma industry. As risk factors for later psychopathology, focus is also on the early life period and on stress. Other key topics are nutrition, plasticity and stem cells. This program awards a degree titled '-'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 25,900; Institutional students pay € 23,500. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 Feb '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.uva.nl/shared-content/programmas/en/masters/biomedical-sciences-neurobiology/study-programme/psychopharmacology-and-pathophysiology/psychopharmacology-and-pathophysiology.html."
16,"Vrije Universiteit Amsterdam offers a Master program called 'Computer Science (joint degree)' in Amsterdam. The program lasts for 2 years. Program Overview: Shape our connected future Technology has become ubiquitous in our global, connected society. Globally distributed information processing services have taken centre stage, with the internet connecting a variety of information processing devices, ranging from embedded sensors to data centres operated by world-leading companies. The Computer Science programme is a joint degree between VU Amsterdam and the University of Amsterdam (UvA). It’s structured according to six specialisations, of which you’ll choose one depending on your own area of interest: Big Data Engineering Computer Systems and Infrastructure Foundations of Computing and Concurrency Software Engineering and Green IT International track: Software Engineers for Green Deal As a Computer Science Master’s student in Amsterdam, you’ll benefit from the expertise, networks and research projects at both VU Amsterdam and the UvA, as well as affiliated research institutes. Courses are taught at locations of both universities, and you’ll receive a joint degree certificate on graduation. Not only is the programme unique in that it offers a joint degree – it also allows you to specialise in one of six distinct tracks. This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 23,490; Institutional students pay € 22,000. If you want to join the program starting in 1 Sep '25, the application deadline is 31 May '25 for EU/EEA applicants, and 1 Apr '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 31 May '26 for EU/EEA applicants, and 1 Apr '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 31 May '27 for EU/EEA applicants, and 1 Apr '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://vu.nl/en/education/master/computer-science."
17,"Vrije Universiteit Amsterdam offers a Short or summer course program called 'Economics of Blockchain and Digital Currencies' in Amsterdam. The program lasts for 5 days. Program Overview: Navigate the evolving landscape of blockchains and digital currencies through the lens of finance, cutting through the media hype. This course delves into the economic forces that govern the parallel financial ecosystem of blockchain and digital currencies. It aims to equip participants with the knowledge and analytical skills to critically evaluate the implications of blockchain and digital currencies from a finance perspective. The course begins by laying a foundation in the technical aspects of blockchains and cryptocurrencies. It then shifts to analysing economic models related to exchange rates, consensus mechanisms, initial coin offerings, and decentralized exchanges, and it concludes with a discussion on the emergence of potential central bank digital currencies. This program awards a degree titled '-'. The language of instruction is English. The program duration is 5 days. It carries a total of 3 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay € 1,000; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 14 Jul '25, the application deadline is 16 Jun '25 for EU/EEA applicants, and 16 Jun '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://businessdatascience.nl/economics-of-blockchain-and-digital-currencies."
18,"University of Amsterdam offers a Master program called 'Biomedical Sciences: Medical Biology' in Amsterdam. The program lasts for 2 years. Program Overview: Medical Biology is a study for those who are fascinated by acquiring in-depth fundamental knowledge of the biochemical and molecular biological background of medical phenomena. You are are interested in unravelling the secrets of life, enjoy doing experiments and wish to specialise in one or multiple areas of this field of research. Tracks within the programme: Medical Biochemistry and Biotechnology Cell Biology and Advanced Microscopy Infection and Immunity Developmental and Therapeutic Biology Experimental Internal Medicine Oncology Cardiovascular Sciences Why UvA? Biomedical Sciences at the UvA is closely affiliated with the University of Amsterdam Academic Medical Center (AMC-UvA), the Swammerdam Institute for Life Sciences (SILS), the Netherlands Cancer Institute (NKI) and the Sanquin Blood Supply Foundation. This provides a unique and exciting science-dense area in which the strengths of the participating institutes are combined, from fundamental to applied research. The cooperation with these prominent institutes ensures students a broad range of expertises and excellent internship opportunities. This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: TOEFL internet based (minimum score or level: 92); or IELTS overall band (minimum score or level: 6.5); or Cambridge Certificate in Advanced English (minimum score or level: 180). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 25,900; Institutional students pay € 23,500. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 Feb '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: http://uva.nl/msc-medical-biology."
19,"University of Amsterdam offers a Bachelor program called 'Ancient Studies' in Amsterdam. The program lasts for 3 years. Program Overview: Was Caesar the first populist? Can Harry Potter be regarded as a mythological hero? The Bachelor's in Ancient Studies investigates the Classical cultures that lie at the roots of our modern world. You will gain insight in the art, literature, philosophy, history, and mythology of Antiquity. You will learn to conduct solid research into ancient topics and use your historical knowledge to develop a critical outlook on contemporary trends and developments. You will investigate the Classical cultures that lie at the roots of our modern world. You will be given an overview of the most important works of art, literature, philosophy, history, and mythology of Antiquity. You can think of fascinating topics such as the pyramids, Greek tragedies, Cleopatra, the epics of Gilgamesh, and Hannibal’s conflict with Rome. You will develop a critical perspective on cultural contact and conflict: between the ancient Greeks, Romans, Persians, and Egyptians, but also between past and present. You will gain insight into the ancient origins of political systems and themes such as identity and migration, which remain relevant far beyond the time of the Persians, Athenians, and Romans. Can our present-day democracy draw any lessons from that of ancient Athens? This program awards a degree titled 'Bachelor of Arts'. The language of instruction is English. The program duration is 3 years. It carries a total of 180 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 Apr '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.uva.nl/ba-ancient-studies."
